"GI:ZTL", "GI_mRNA", "GI_prot", "LHY_mRNA", "LHY_prot", "LHY_prot_modif", "Light*P", "PRR5_mRNA", "PRR5_prot", "PRR7_mRNA", "PRR7_prot", "PRR9_mRNA", "PRR9_prot", "TOC1_mRNA", "TOC1_prot", "TOC1_prot_mod", "Y_mRNA", "Y_prot"
0,0.022102,0.095801,0.8428,0.44382,1.1027,2.8209,1.0427,0.92226,0.97105,3.1623,1.9514,3.6278,0.87998,3.2866,1.6834,1.3863,0.899
0,0.037612,0.10447,2.7186,1.9505,0.95565,0.83348,0.86893,1.1067,0.76777,3.0373,3.7936,0.77716,1.1388,2.5294,0.34366,1.503,1.4904
0,0.03673,0.085949,1.8406,2.0607,1.8378,0.13896,0.34757,1.6601,1.5809,2.4399,1.9514,1.2664,0.80386,2.7714,3.3684,0.62748,1.2539
0,0.039816,0,2.1199,2.5384,2.2789,0.13896,0.52136,1.4756,1.9621,2.2506,1.1224,3.4069,0.66686,3.8459,2.4304,0.42319,0.83986
0,0.050594,0.088504,1.8406,2.0974,2.6464,0,2.2592,1.4756,2.1399,2.9904,1.0303,3.3817,0.60597,2.2376,4.4353,0.33563,0.54413
0,0.036968,0.096617,1.5213,1.877,2.867,0,2.6068,2.2134,2.3432,2.2586,0.93816,1.6014,0.48419,3.3936,3.2606,0.5983,0.42584
0,0.043438,0.10518,1.0823,1.6197,2.867,0.1766,2.6068,3.1357,2.3432,1.2447,0.70789,2.4565,0.48419,2.4911,2.9432,0.46696,0.43767
0,0.052501,0.18953,0.56343,1.2523,2.6464,0.0011739,3.4757,3.3201,2.2416,3.6066,0.98421,1.52,0.40807,3.9792,1.2582,0.35022,0.42584
0,0.018748,0.15732,0.48361,0.88479,1.6173,5.7564e-07,2.0854,3.1357,1.6317,3.7225,0.33945,3.9681,0.4233,3.8021,1.2816,0.53993,0.3667
0,0,0.054239,0.36388,0.48057,0.88214,4.4598e-10,1.7379,2.3979,1.1235,2.556,0.29339,2.0007,0.72775,4.0059,3.0734,0.93393,0.56779
0,0.050497,0.10241,0.32397,0.48057,0.73512,7.2687e-07,0.52136,0.92226,0.74236,1.0347,0.15523,0,1.1388,3.4947,3.4143,0.91934,0.86351
0,0.050425,0.10364,0.28406,0.40707,0.66161,0.0022708,0.17379,0.73781,0.43743,1.5002,0.06312,1.1341,1.3671,4.1941,2.3711,1.255,1.1119
0,0.043055,0.072689,0.92262,0.55406,0.36756,3.1267,0.34757,0.3689,0.3612,2.8787,1.7211,2.801,1.8238,2.4184,1.6618,1.6636,1.6561
0.4963,0.76979,0.52974,0.04308,0.086542,0,2.9217,0,0,0.030859,1.6977,1.3987,1.1375,3.2547,3.0314,2.4974,2.043,2.1174
1.7145,3.864,1.4301,0.13653,0.068057,0,1.1808,0,0,0.030859,3.7795,4.991,1.4443,3.5744,2.9278,1.7689,4.5091,3.0519
2.7296,3.932,1.3241,0.1239,0.095929,0,0.069482,0,0,0.030859,2.8393,1.3987,0.65864,3.5744,2.4992,1.3499,4.2902,4.2348
3.4741,3.677,2.0126,0.11093,0.069814,0,0.069482,0,0,0.030859,1.5463,0.52367,2.7563,4.0006,2.2394,1.911,4.801,4.8617
3.8576,3.762,3.1248,0.14378,0.05808,0,0,0,0,0.030859,2.7824,0.15523,2.4617,4.1224,7.2434,2.3453,5.1074,5.2166
4.2411,3.745,3.0718,0.13598,0,0,0,0,0,0.030859,2.1115,0.06312,1.1745,3.818,3.4989,2.8768,4.9323,4.98
4.3088,3.1839,3.6014,0.041548,0.034844,0,0.24724,0,0,0.030859,0.73024,0.29339,2.2792,3.4526,2.2327,2.4523,4.2319,5.0391
1.7145,0.61678,6.6731,0.13103,0.041664,0,0.001102,0,0,0.030859,3.123,0.10917,1.9132,3.544,2.024,3.3992,2.0722,4.1875
0.69933,0.12375,5.8787,0,0.10668,0,5.3566e-07,0,0,0.030859,1.6355,0.06312,2.5601,3.8789,4.055,2.9,1.576,3.2293
0.18047,0.055749,4.078,0.069035,0.038032,0,4.4598e-10,0,0,0.030859,1.5644,0.06312,3.4369,4.0768,2.624,0.086272,1.5322,2.354
0.067677,0.038748,2.5422,0.045108,0.07376,0,7.1141e-07,0,0,0.030859,2.442,0.06312,1.4926,3.6657,2.4604,2.8763,1.649,2.0582
0.045118,0.038748,1.9067,0.081378,0.075802,0,0.0022013,0,0,0.030859,2.4461,0.06312,2.2781,3.5592,4.3467,2.8217,1.7365,2.1529
0.27071,0.46377,0.63566,0.093623,0.040101,0,3.0572,0,0,0.030859,0.80954,1.2605,5.2359,3.3917,3.1848,2.4493,2.364,2.1647
0.24815,0.66778,0.26494,1.0423,0.44382,0.73512,2.8209,0.17379,0.3689,0.6153,1.8158,1.7671,1.1821,0.02249,3.7199,2.5215,1.503,0.72157
1.3987,2.6059,0.3179,3.1975,1.7667,0.66161,1.0419,0.34757,0.3689,0.53907,1.3717,4.4844,3.4647,0.034265,3.4309,2.3646,1.6636,1.3485
1.8273,1.4158,0.42382,3.1177,2.7956,1.9113,0.069482,0.34757,0.18445,1.3776,3.1741,1.7211,1.8943,0.039623,3.2559,3.3297,0.70045,1.2657
1.8498,0.83779,0.15902,3.2773,3.0161,2.2054,0,1.9116,0.3689,2.2162,1.8473,1.1684,2.065,0.035244,3.4657,2.3474,0.2043,0.83986
1.895,0.75279,0.10607,3.0379,3.8981,2.7934,0,2.2592,0.73781,2.8768,2.433,1.1224,1.3848,0.035854,4.4229,2.3994,0.11674,0.55596
1.3987,0.65078,0.10607,2.3594,3.4203,3.8226,0,2.9544,1.2912,2.9785,3.6606,0.89211,1.4035,0.046162,3.7372,1.5797,0.14593,0.23658
