"GI:ZTL", "GI_mRNA", "GI_prot", "LHY_mRNA", "LHY_prot", "LHY_prot_modif", "Light*P", "PRR5_mRNA", "PRR5_prot", "PRR7_mRNA", "PRR7_prot", "PRR9_mRNA", "PRR9_prot", "TOC1_mRNA", "TOC1_prot", "TOC1_prot_mod", "Y_mRNA", "Y_prot"
0.12883,0.021426,2.7171,0.21186,0.21452,0,4.6436e-10,0.27775,0.93729,0.31751,0.17597,0.057407,0.059968,0.01717,3.01,2.8148,1.3436,1.9422
0.02863,0.011129,1.611,0.21186,0.21452,0,7.388e-07,0.20831,0.5047,0.13696,0.11348,0.057407,0.059968,0.0042656,2.1884,0,0.99063,1.4983
0,0.011129,1.1809,0.21186,0.21452,0,0.0022605,0.069438,0.2163,0.13696,0.11348,0.057407,0.059968,0.020661,1.5832,1.9335,1.0703,1.3688
0.30061,0.39213,0.22847,0.8262,0.35197,0,2.9349,0.069438,0.1442,0.13696,0.11348,1.7223,0.27122,0.022216,2.5839,1.8433,1.5486,1.3965
0.042945,0.39213,0.10557,0.74941,0.76431,1.6152,2.9384,0.34719,0.3605,0.12156,0.1744,0.065765,0.039177,1.3477,1.325,1.3634,1.4005,0.87861
0.60123,1.5351,0.32064,5.1266,2.6198,1.2114,0.48898,0.27775,0.3605,0.070809,0.10401,0.1192,0.05204,1.5471,2.7024,2.1746,2.0154,1.6647
1.0736,1.1953,0.38209,5.4337,3.9256,2.4228,0.13976,0.20831,0.1442,0.11826,0.068152,0.10908,0.027107,1.1234,1.4329,3.4928,0.46685,1.4613
1.1166,0.63927,0.1363,4.7426,4.3379,4.4419,0,0.20831,0.072099,0.18841,0.10425,0.038838,0.056347,0.78702,2.0369,2.8829,0.31882,0.98034
1.002,0.77313,0.074848,4.973,4.2005,4.4419,0,0.48606,0.072099,0.13367,0.16219,0.10168,0.067039,0.68733,2.1796,3.9993,0.18218,0.58266
0.93047,0.57748,0.074848,4.8194,6.056,4.0381,0,0.5555,0.5768,0.12024,0.10597,0.036919,0.040547,0.50043,2.4751,3.644,0.03416,0.36994
0.77301,0.35094,0.22847,3.8979,5.9873,4.8457,0.035522,0.48606,0.3605,0.088487,0.10174,0.049105,0.057616,0.26368,2.519,0.80511,0,0.24046
0.40082,0.08321,0.68933,1.9781,4.819,4.3073,0.0010601,0.62494,0.3605,0.079933,0.043222,0.070234,0.12567,0.20138,1.1025,1.747,0,0.027746
0.14315,0.011129,0.75077,1.287,3.0322,3.7689,5.5481e-07,0.48606,0.72099,0.098483,0,0.11064,0.070027,0.20138,3.4548,0.86628,0.056933,0
0.014315,0.011129,0.68933,0.90299,1.3828,4.0381,4.2214e-10,0.41663,0.72099,0.17967,0.19751,0.094565,0.06792,0.20138,2.8361,1.6914,0.15941,0
0,0.011129,0.50498,0.51903,1.2454,3.365,6.9214e-07,0.34719,0.64889,0.099999,0.12827,0,0.089159,0.31352,0.5216,1.1852,0.60349,0.29595
0,0.011129,0.35136,0.44224,0.97048,2.2882,0.0022139,0.13888,0.2884,0.20418,0.14572,0.049533,0.064777,0.66241,2.315,2.7921,0.70596,0.54566
0.11452,0.33035,0.1363,2.1317,1.0392,1.6152,3.0048,0.13888,0.1442,0,0.027551,0.16125,0,1.0736,1.7497,2.0928,1.1728,0.76763
0.2863,0.34064,0.35136,1.287,0.21452,0,2.7695,0,0.072099,0.19714,0.11348,1.2942,0.15051,2.2324,1.1531,2.3487,1.708,1.4335
0.071575,0.042021,0.62788,1.1334,0.62686,0,0,0,0,0.19714,0.11348,0.34281,0.090148,2.6062,3.0702,0.25762,1.1956,1.4798
0.014315,0.011129,0.50498,0.59582,1.0392,0.1346,0,0,0,0.25732,0.11348,0.15254,0.059968,2.6436,1.8607,1.7509,0.8426,1.452
0,0.011129,0.32064,0.36545,0.90175,0.2692,0,0,0,0.19714,0.11348,0.057407,0.090148,2.5813,1.4494,2.0681,0.85399,1.0913
0,0.011129,0.22847,0.28865,0.76431,0.2692,0,0,0,0.13696,0.11348,0.057407,0.059968,2.681,1.9899,2.5401,0.94508,1.0728
0,0.011129,0.19774,0.28865,0.69558,0.1346,0,0,0,0.13696,0.11348,0.057407,0.059968,2.6187,0.59507,3.0868,1.2411,1.2208
0,0.011129,0.10557,0.28865,0.48941,0.2692,0,0,0,0.13696,0.11348,0.057407,0.059968,2.681,1.417,3.7899,0.97924,1.1468
