"GI:ZTL", "GI_mRNA", "GI_prot", "LHY_mRNA", "LHY_prot", "LHY_prot_modif", "Light*P", "PRR5_mRNA", "PRR5_prot", "PRR7_mRNA", "PRR7_prot", "PRR9_mRNA", "PRR9_prot", "TOC1_mRNA", "TOC1_prot", "TOC1_prot_mod", "Y_mRNA", "Y_prot"
0,0.023891,0.083882,1.2838,0.2399,0,2.8635,0.10158,0.40007,0.22929,0.25834,1.232,0.12486,2.6874,1.4226,3.6991,1.81,1.7066
0,0.019727,0.022073,1.2838,0.76235,0,0.85625,0,0.26671,0.68372,0.34216,4.0612,2.8996,2.5465,3.1586,3.5232,2.7942,2.099
0,0.024045,0.08673,0.48238,0.9365,0.20913,0.07138,0.20315,0.40007,2.6529,0.84511,1.0928,3.362,2.6874,2.8947,4.1147,2.7263,2.6922
0,0,0.093824,0.26382,0.64625,0.31369,0,1.2189,0.80014,3.3345,2.7731,0.16521,2.305,2.5721,1.893,2.9724,3.0091,2.7926
0,0.014371,0.091719,0.11812,0.53015,0.10456,0,2.2347,1.2002,2.9559,4.1981,0.11883,1.5122,2.8669,1.8364,3.555,3.1788,3.1211
0,0.014439,0.039909,0.19097,0.4721,0,0,4.4693,1.4669,2.1985,3.6952,0.072449,1.0828,3.0976,1.6246,5.3131,3.0996,3.1302
0,0.017232,0,0.19097,0.2399,0,0.254,4.2662,4.6675,1.2896,3.3599,0.11883,0.45519,3.2514,1.0471,4.3616,3.3711,3.4131
0,0.010502,0.075389,0.19097,0.29795,0,0.0011568,2.2347,5.3343,0.8352,0.76129,0.072449,0.058799,3.072,4.1537,2.9145,1.7308,2.9295
0,0.016346,0.11528,0.11812,0.18185,0,5.7494e-07,1.1173,3.734,0.68372,0.67746,0.072449,0.058799,3.3027,1.8287,0.89499,1.1765,2.2541
0,0.028169,0.067926,0.11812,0.1238,0,4.5277e-10,0.50788,2.5338,0.60798,0.42599,0.072449,0.058799,3.0464,1.525,2.406,1.2218,1.8982
0,0.014837,0.056685,0.11812,0.1238,0,7.3878e-07,0.30473,0.66679,0.45651,0.25834,0.072449,0.058799,2.8669,2.1588,3.596,1.4254,1.9165
0,0.033787,0.10125,0.11812,0.1238,0,0.0022614,0.20315,0.13336,0.30503,0.17451,0.072449,0.058799,3.1489,2.959,3.4382,1.2218,1.7705
0,0.019757,0.093034,1.2838,0.1238,0,3.0336,0.10158,0.13336,0.15355,0.17451,1.6494,0.32306,3.0976,2.4188,2.3228,1.8439,1.6609
0.39337,0.35052,0.31946,0,0.067771,0,2.8635,0,0.13336,0.15355,0.17451,1.3247,0.32306,2.7131,2.7477,3.5857,1.7874,1.5241
0.97615,2.1382,0.35073,0.11418,0.10024,0,0.92761,0,0.13336,0.8352,0.34216,2.9944,2.2059,2.7259,2.1352,2.6931,3.5521,2.1538
1.7483,2.6401,0.50707,0.09185,0.10515,0,0.21414,0.4063,0,1.8198,0.92894,0.81454,2.2389,2.9823,0.81078,3.2184,3.8236,2.9751
2.3165,2.4519,0.75722,0.14204,0.027403,0,0.07138,0.8126,0.53343,1.744,1.5157,0.30435,1.4131,3.0592,2.7318,2.0489,3.9481,3.8786
2.5642,2.4519,1.2575,0.015777,0.11091,0,0,1.0158,0.53343,1.2139,1.5157,0.11883,0.78551,2.9182,3.2943,4.6157,3.801,4.0702
2.9284,2.4832,1.2888,0.074493,0,0,0,0.91418,1.0669,0.75946,1.1804,0.072449,0.48822,3.1233,0.41232,2.4975,3.5861,4.3896
2.6662,1.9501,1.6327,0.017005,0.054892,0,0.07257,1.1173,0.9335,0.45651,0.67746,0.11883,0.19093,3.0592,1.3021,1.938,3.439,4.3714
