"GI:ZTL","GI_mRNA","GI_prot","LHY_mRNA","LHY_prot","LHY_prot_modif","Light*P","PRR5_mRNA","PRR5_prot","PRR7_mRNA","PRR7_prot","PRR9_mRNA","PRR9_prot","TOC1_mRNA","TOC1_prot","TOC1_prot_mod","Y_mRNA","Y_prot"
0,0.04028,0.017632,1.2641,2.0345,1.967,1.889,0.1398,0.11027,1.2177,0.769,1.7054,0.21194,0.51919,0.88182,1.6866,0.12801,0.2195
0,0.061838,0.013706,0.61092,1.8369,2.248,0.16738,0.72695,0.38596,1.6817,1.6651,3.1987,2.5583,0.48364,0.73188,1.2034,0.65607,0.34144
0,0.00234,0.023327,0.25712,1.2838,2.529,0.023912,2.0411,1.0476,2.2548,2.5892,1.1454,2.4903,0.48364,0.88182,0.84098,0.9601,0.54875
0,0.064659,0.077341,0.093821,0.92819,1.967,0,2.6282,1.4336,2.0637,2.6172,0.35206,1.7422,1.1591,1.1817,0.47858,1.2161,0.76825
0,0.02564,0.076517,0.12104,0.6121,1.405,0,2.7121,2.1779,1.5998,2.4772,0.11873,1.0961,1.5857,1.6815,0.72018,0.76808,0.878
0,0.0046661,0.044057,0.066605,0.49357,0.74933,0,2.8519,2.8671,0.94482,2.1692,0.072059,0.68802,2.1189,2.0314,1.0826,0.41604,0.71947
0,0.0044322,0,0.039389,0.41455,0.65566,0.071735,2.4884,2.9774,0.53546,1.5251,0.16539,0.24594,2.3678,3.1809,1.3242,0.17602,0.63411
0,0.023639,0.038442,0.066605,0.21699,0.37466,1.2434,1.4259,2.5638,0.23526,0.40496,0.21206,0.14392,2.1189,3.6807,1.6866,0.032003,0.37803
0,0.024058,0.091159,0.066605,0.21699,0.37466,1.8173,0.55919,1.7092,0.1261,0.12493,0.072059,0.075913,1.6568,3.5308,2.7738,0.016002,0.2073
0,0.029705,0.049651,0.14825,0.25651,0.281,2.152,0.19572,0.85462,0.071518,0.068921,0.072059,0.075913,1.2657,2.4812,3.1362,0.12801,0.12194
0,0.038316,0.13933,0.69257,0.25651,0.18733,2.2477,0.055919,0.55137,0.044227,0.096924,0.072059,0.075913,0.73249,2.1813,3.7402,0.032003,0.097555
0,0.028685,0.010307,2.2983,1.1257,0.093666,2.3433,0,0.19298,0.098808,0.068921,0.072059,0.075913,0.66139,1.6315,3.6194,0.11201,0.085361
0,0,0.073859,3.3325,2.4296,0.562,2.0086,0.02796,0.082705,0.39901,0.12493,2.2654,0.48398,0.44809,1.1317,3.3778,0.17602,0.13414
0.20519,0.20745,0.22842,0.070725,0.08878,0,2.0803,0,0.027568,0.016936,0.068921,1.7987,0.27995,1.479,3.1309,3.861,0.24002,0.15853
0.67421,1.2422,0.28554,0.015976,0.15209,0,0.28694,0,0.027568,0.39901,0.068921,3.8987,2.9324,1.1946,2.881,3.9818,0.38404,0.35364
1.1725,1.2215,0.1713,0.037863,0.088868,0,0.023912,0.083879,0.027568,0.9994,0.43296,1.0987,2.5923,1.088,2.1813,2.4114,0.38404,0.30486
1.407,1.4491,0.28554,0.0063288,0,0,0,0.39144,0.24811,0.9994,0.96502,0.16539,1.8442,0.73249,1.6815,2.049,0.52805,0.4268
1.5829,1.6768,0.28554,0.014048,0.070636,0,0,0.97859,0.5238,0.78108,1.2451,0.072059,0.96006,1.4079,1.7815,2.1698,0.67207,0.63411
2.0519,1.7595,0.11418,0,0.08532,0,0,1.0066,0.71678,0.39901,1.049,0.072059,0.41597,1.799,1.8814,1.2034,0.59206,0.67069
2.6089,1.325,0.1713,0.013949,0.096196,0,0.071735,1.0066,0.79948,0.26255,0.40496,0.11873,0.27995,2.4033,2.0813,1.9282,0.59206,0.62191
0.90872,0.29023,1.9421,0.049395,0.091236,0,1.0999,0.36348,0.57893,0.15339,0.18093,0.072059,0.075913,2.19,1.7815,1.8074,0.30403,0.47558
