"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
-0.063491,1.5773,-1.3095,-1.2834,2.2826,0.1165,2.0383
-0.051287,1.8379,-0.83959,-0.074338,-0.5045,0.41284,-1.421
-0.031367,-1.0002,-0.052319,1.2876,-2.2282,-0.034562,-2.5087
-0.023591,-0.11437,0.24611,0.18747,-0.40156,-0.58633,-0.10233
-0.042332,-0.021206,-0.13829,0.45305,-0.5222,-0.47063,0.041902
-0.086069,-0.0057204,-1.3229,0.87016,0.15968,-0.12841,0.40505
-0.021527,-0.89097,-1.4665,-0.74543,0.20212,0.07591,-0.45832
0.00040671,-1.3516,0.21956,-0.40472,0.091869,0.32415,0.44929
-0.1034,-0.31043,1.3063,-1.2538,-0.7139,0.48678,-0.049554
-0.070014,-0.48716,0.59633,-1.4341,0.40154,0.18554,0.89331
-0.036887,-0.31376,-0.61852,-0.17517,-0.44011,0.20548,0.43851
-0.046773,0.045523,-1.3271,-1.7503,0.66312,1.1512,1.623
-0.043229,0.91232,-0.96433,-0.76494,1.0551,1.3614,1.6416
2.076,-0.09836,-0.010079,-0.070068,2.6279,-0.20749,2.4682
1.4467,-0.11622,-0.010079,-0.070068,0.27372,3.9131,0.19846
-0.46262,-0.087233,-0.010079,-0.070068,-2.9084,1.1142,-2.4428
-0.99248,-0.076413,-0.010079,-0.070068,-0.35575,-1.2294,-0.80707
-0.61366,-0.098513,-0.010079,-0.070068,-0.24254,0.0074621,-0.18955
1.3455,-0.093682,-0.010079,-0.070068,-0.0088457,-2.5257,0.034081
-1.7983,-0.12277,-0.010079,-0.070068,0.062948,-1.0326,0.16545
-1.472,-0.12196,-0.010079,-0.070068,-0.13055,0.57345,0.53885
0.26934,-0.09642,-0.010079,-0.070068,-0.25326,-0.46924,0.43932
-0.19836,-0.077903,-0.010079,-0.070068,0.17795,-0.99729,-0.63489
-0.13132,-0.10813,-0.010079,-0.070068,-0.65592,0.44949,0.34876
0.34248,-0.10975,-0.010079,-0.070068,1.7702,0.85987,0.61982
0.97163,-0.088432,-0.010079,-0.070068,1.1571,0.21156,-0.68873
4.5692,1.9939,-0.11252,-0.88637,2.2847,0.058108,1.8475
1.1783,0.94,-0.21751,0.50238,-0.051631,0.027011,-3.8456
-3.4157,-1.324,0.17942,1.5419,-2.3044,0.025565,-2.3412
0.13963,0.84122,0.53125,0.37127,-0.10191,0.14359,0.82269
-0.48668,-0.52232,-0.15411,0.60403,-0.31672,0.058447,-0.75888
-0.52063,0.18877,-0.35858,0.37562,0.02757,0.059566,-0.26943
-1.4787,-0.16015,0.34432,0.063458,-0.062069,0.09058,0.13244
-0.43984,-1.1642,-0.010429,0.075034,-0.1766,-0.018729,-0.3651
-0.21814,-0.65328,-0.35627,0.8157,-0.089825,0.036636,0.31784
0.042069,-0.5537,0.14642,-0.25336,-0.025957,0.13387,0.53742
-0.33242,-0.50827,-0.14958,-2.2967,-0.57015,-0.032823,-0.092264
0.91555,-0.06553,-0.080064,-1.2223,0.43804,-0.0036763,2.2768
1.182,0.71011,0.1782,-0.48923,0.61857,0.068106,1.3295
3.1813,1.9457,-0.28612,-0.066373,-0.076456,2.5696,3.3293
0.38734,0.98415,-0.39194,-0.069691,-0.070774,0.51732,-1.5341
-2.9234,-0.67353,0.84075,-0.074,-0.05065,-1.2356,-3.3493
0.014952,0.46559,1.4997,-0.087537,-0.0917,-0.80929,0.54161
-0.72351,0.53289,0.37091,-0.066741,-0.062292,-0.89459,-0.48594
0.31153,-0.4569,2.1907,-0.061009,-0.054302,0.0076079,0.23577
-0.26846,-1.1828,-1.408,-0.06849,-0.077383,-0.17034,-0.46901
-0.75378,-0.65157,-2.348,-0.07247,-0.071037,0.14548,0.33436
-0.0010513,-0.71347,0.49348,-0.067157,-0.080541,0.53082,-0.04052
-0.022479,-0.54295,0.15095,-0.067469,-0.062865,0.74139,0.41986
-0.2087,-0.2567,-0.069609,-0.08013,-0.040457,0.66292,0.82
0.60863,-0.11136,-1.7608,-0.062289,-0.061688,1.7999,-0.33187
0.64232,0.94098,-0.23096,-0.067582,-0.069389,0.23689,0.11957
-1.2669,-0.80143,-1.3853,-0.68298,-0.61342,1.9895,-0.99668
-0.62909,-0.024717,-0.62884,-0.66969,-1.191,-0.046966,-2.0042
-0.045229,-0.49287,-0.36768,-0.58408,0.17688,-0.47747,-0.16895
-0.055107,0.40994,0.32118,-0.59813,-0.18587,1.1558,-0.36135
-0.051856,0.92552,-0.091583,-0.6408,-0.037649,-1.2271,0.025114
-0.042253,0.29081,-0.7058,-0.21893,-0.036793,-1.2497,0.024362
-0.055119,1.9459,0.29124,1.0642,0.11019,-0.83003,-0.053515
-0.044806,1.3685,-0.1856,1.3908,-0.11909,-0.96779,0.1618
-0.050747,-0.063086,0.11913,2.7382,0.12435,-0.26157,-0.31927
-0.048695,-1.0365,-0.061261,0.55231,0.072553,-0.53859,0.05215
-0.048053,-1.4993,2.0076,-0.65566,0.17677,0.18449,-0.19539
-0.050603,-1.064,2.6747,1.376,0.14172,0.014776,0.1969
-0.044482,-1.2051,-0.34034,-1.0473,-0.45787,0.48191,0.43262
2.2868,2.1814,-0.90468,-1.173,2.5738,1.4995,1.4246
0.29687,1.1152,-0.72055,0.1739,-0.73807,-1.3665,-1.5817
-2.4342,-0.82966,1.1601,2.1945,-3.0336,-1.7081,-1.5401
-0.16504,-0.47486,0.22813,0.64427,0.1821,-0.38783,0.32011
