"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0.019916,0.0086999,-0.0011038,1.8254,1.2719,0.40794,1.8284
-0.027487,-0.75689,0.15674,2.3493,-0.85126,0.018691,0.88566
-0.011632,-1.044,1.8141,2.4148,-2.155,-0.18891,0.25268
0.017225,-0.75689,2.919,-0.2047,-0.85126,0.096541,-0.13788
-0.0072654,-0.37409,1.7352,-1.8419,-0.14353,-0.24081,0.10454
-0.013967,0.1044,-1.1849,-1.3835,0.042719,0.070591,0.42776
-0.026675,-0.086999,-2.5266,-1.056,0.042719,0.58959,-1.7809
-0.0055379,-0.086999,-1.5006,-0.33568,-0.031779,0.40794,-2.0503
0.005461,0.0086999,-0.63248,-0.27019,-0.069028,0.40794,-0.31296
-0.018264,0.0086999,-0.23787,-0.33568,0.0054701,-0.13701,-0.084008
-0.02512,0.0086999,-0.39571,-0.07373,0.0054701,-0.83766,0.10454
-0.0045873,1.2528,-0.15895,-0.0082431,1.3092,-0.60411,0.64324
0.47745,-0.088449,0.077818,-0.13922,1.1229,0.43389,-0.030137
2.5882,-1.2742,-0.0011038,0.38468,0.89945,1.1345,1.8553
2.3747,0.056395,0.15674,1.5634,-0.66501,0.82314,2.8385
0.27957,0.020396,0.94596,1.105,-2.0805,-0.34461,0.37389
-0.13714,0.046588,0.47243,-0.99055,-0.44152,-0.18891,-0.52844
-0.0098149,0.22466,-0.55356,-1.187,-0.10628,0.12249,0.17188
-0.21817,0.094104,-0.63248,-0.33568,0.11722,-0.16296,0.33349
-2.4407,-0.22717,-0.31679,-0.27019,0.079968,0.33009,-2.387
-2.4754,0.024919,-0.0011038,-0.27019,-0.10628,-0.57816,-2.6159
-0.44968,0.1345,-0.0011038,-0.2047,-0.069028,-0.75981,-0.48804
-0.067692,0.0099103,-0.0011038,-0.0082431,0.0054701,-0.75981,-0.07054
-0.02139,-0.065366,-0.0011038,-0.0082431,0.0054701,-0.52626,-0.043605
0.52266,-0.2111,-0.0011038,-0.0082431,1.6072,0.58959,0.34696
0.41848,1.5351,-0.080025,-0.0082431,1.1602,-5.6877,0.21228
1.6223,0.90282,-0.080025,1.0396,1.9424,-5.9964,1.6668
2.1548,-1.1397,0.3935,3.4626,-0.14353,-0.019763,1.384
0.48793,-0.66119,1.5773,2.5458,-3.2724,0.014227,-0.24562
-0.044541,-0.1827,2.8401,-0.59763,-0.96301,0.0032749,0.60284
-0.10242,0.0086999,2.8401,-1.449,-0.25527,-0.012621,0.4951
-0.40338,-0.086999,-0.31679,-1.5799,0.079968,-0.042482,-0.5015
-2.1628,-0.086999,-2.8423,-1.1215,0.0054701,-0.033129,-2.0233
-2.1165,-0.086999,-2.132,-0.85958,-0.10628,0.038559,-2.0503
-0.41496,0.0086999,-1.4217,-0.7286,0.0054701,0.034219,-0.44763
-0.067692,0.0086999,-0.7114,-0.27019,0.0054701,-0.040354,0.44123
-0.02139,0.0086999,-0.080025,-0.27019,0.0054701,0.026517,-0.19175
0.34902,1.3485,-0.0011038,-0.13922,1.4582,0.015254,0.27962
0.3143,1.827,0.077818,-0.073234,0.043616,1.4011,-0.01667
0.93937,6.3248,0.15674,-0.14947,-1.4485,1.9643,-0.58231
0.83519,4.6979,0.3935,-0.068785,-0.11056,-0.085109,-0.69005
