"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
-0.071066,0.77682,0.08055,-0.95026,2.6892,-1.4662,1.247
-0.080655,-1.0679,-0.38515,2.3469,-0.11699,0.52145,0.79533
-0.08534,-1.0017,1.2992,2.308,-2.9752,-0.14653,-0.3965
-0.074984,-0.19223,1.1754,-0.12137,0.0081932,0.30006,0.85239
-0.068869,-0.18702,2.6963,-0.76482,-0.17103,1.7451,-0.60028
-0.081422,0.12088,2.512,-1.3237,-0.024258,1.2751,0.76242
-0.087777,-0.13728,-2.7753,-1.0014,-0.058354,-0.52623,-1.3536
-0.072336,-0.028702,-2.4903,-0.33166,-0.084715,0.17944,-2.5006
-0.072992,-0.27472,-1.1634,-0.097522,-0.075501,0.59353,-0.055408
-0.072039,0.21056,-0.64019,-0.13958,0.035429,-2.3236,0.22452
-0.068565,-0.52466,-0.092007,-0.20808,-0.35998,0.87969,-0.18924
-0.087522,1.1479,-0.28347,-0.21513,1.0222,0.9756,0.078737
-0.084211,1.3733,0.15893,-0.082151,0.64333,-0.95963,1.2055
2.2968,-0.053258,-0.33973,0.24148,1.9296,-0.67299,2.3348
2.1972,-0.079876,0.38772,1.5824,-0.45209,0.91796,1.8676
-0.40948,-0.057964,0.63316,0.75873,-2.0396,1.2606,-0.35737
-0.090879,-0.045823,0.59697,-0.65789,0.033741,-0.64487,0.37117
-0.16859,-0.06941,-0.19368,-0.7156,-0.29244,0.3041,-0.94075
0.051203,-0.056291,0.33235,-0.50146,-0.014166,0.50741,0.36268
-2.3119,-0.053066,-0.50411,-0.36181,0.04063,-0.10747,-1.8986
-1.8511,-0.033472,-0.72448,-0.20389,-0.074616,-0.84801,-1.9972
0.17863,-0.025478,0.030229,-0.0061469,-0.2066,0.093599,-0.034592
-0.31312,-0.079859,-0.56413,0.021246,0.097629,1.0745,-0.22186
-0.0046248,-0.056831,0.09249,0.019834,-0.40914,-1.1111,-0.21575
0.032326,-0.064858,-0.11698,0.0039334,1.0457,-1.0879,-0.13545
0.96801,-0.065039,0.20093,0.067673,0.69509,0.25495,1.4681
2.2152,0.48728,0.28043,-0.72556,2.6932,0.032001,1.7465
2.155,-0.56086,-0.2846,2.8917,-0.75284,-0.015324,1.4467
-0.75282,-0.65806,0.54449,2.2959,-2.9258,-0.03822,0.15909
0.91093,-0.24697,0.9786,-0.39952,0.24474,0.021795,-0.54489
-0.64937,0.26344,1.7921,-1.2035,-0.23945,0.02086,0.16358
-0.013772,-0.10767,1.745,-1.5393,0.014374,0.06426,-0.49401
-1.9826,-0.50757,-1.5343,-0.74083,-0.0015575,0.041533,-2.0329
-2.3543,0.072888,-2.3868,-0.36624,-0.077972,0.048418,-0.5624
0.33493,-0.10554,-0.94636,-0.038512,-0.15614,-0.095423,-0.26696
-0.42436,-0.00090609,-0.14228,-0.2434,0.072849,-0.11593,-0.011366
0.083962,-0.52605,0.061391,-0.22502,-0.42487,0.13794,-0.18304
-0.038732,1.4321,-0.1308,-0.05116,1.2522,0.038623,0.18188
0.8581,0.71762,-0.064318,-0.032392,0.73577,-0.069142,1.0307
1.6457,7.4087,-0.58053,0.018817,-0.050363,2.832,1.8945
0.35917,3.3266,-0.13964,0.044479,-0.060871,-0.90521,-1.0452
-1.6437,-1.3428,0.60287,0.045899,-0.04711,-2.5436,-2.2131
-0.098041,-0.19018,0.84744,-0.007075,-0.061284,-1.7871,0.20733
-0.14604,-2.3965,-0.22916,-0.0035647,-0.07991,-0.56119,-0.40968
0.038196,-1.089,0.23084,0.02427,-0.037411,-0.34588,0.168
-0.42567,-1.4047,-0.0096311,-0.011093,-0.053584,-0.49466,-0.11567
-0.40557,-1.0763,2.0555,0.030917,-0.069154,-0.17139,-0.18398
-0.096192,-1.1431,-0.058722,0.039118,-0.056412,0.2003,0.26742
-0.059636,-0.77575,-1.8977,0.016956,-0.063261,0.45842,0.61122
-0.20644,-0.058721,0.27663,-0.0035737,-0.054829,1.6891,-0.12742
0.383,-0.14712,-0.96771,0.0056064,-0.049398,3.098,0.78094
0.40477,1.1016,-0.044848,0.034209,-0.052256,-0.38288,0.64406
-0.4601,-1.0562,-0.0091618,0.015965,-0.32441,0.13982,-0.071433
-0.41952,-0.55276,-0.0091618,0.017157,-1.1958,-0.10861,-0.16932
-0.024153,-0.1883,-0.0091618,0.016697,0.089365,0.19549,-0.112
-0.11198,-0.37194,-0.0091618,0.032888,-0.15038,-0.46843,-0.069195
-0.055167,-0.15164,-0.0091618,0.017115,-0.041997,-0.3338,-0.045092
-0.090735,-0.023405,-0.0091618,0.0013428,-0.034992,0.7684,-0.062299
-0.068147,-0.069463,-0.0091618,0.017533,-0.023649,0.069361,-0.084025
-0.082778,-0.046143,-0.0091618,0.017104,-0.088401,0.17032,-0.087848
-0.072945,-0.059223,-0.0091618,0.017116,-0.081611,0.34184,0.016907
-0.080102,-0.051516,-0.0091618,0.017115,-0.051956,-0.44997,-0.085102
-0.073967,-0.056529,-0.0091618,0.017116,-0.054278,-0.70224,-0.10179
-0.081039,-0.052344,-0.0091618,0.017085,-0.071077,0.036778,-0.028575
-0.067061,-0.057131,-0.0091618,0.018265,0.018705,0.3187,-0.13888
2.5291,0.50248,-0.78863,-0.50596,3.4129,-0.59592,0.7083
1.2305,-1.5437,0.85065,2.6501,-0.34839,-1.8057,0.20843
-0.33626,-0.98248,0.20988,1.7334,-3.6431,-0.54779,-0.33752
0.42701,0.19569,1.8077,-0.78125,0.19852,1.9332,1.6065
-0.22382,-0.24083,1.4392,-0.80074,-0.32512,0.98118,0.39366
0.38568,0.21627,-0.96605,-1.0831,-0.024595,0.94744,0.81993
-2.1823,0.20632,-0.86639,-0.69781,-0.0012558,0.69141,-2.1168
-1.8184,-0.29185,-1.5793,-0.43626,-0.16645,0.14984,-2.2195
-0.024035,-0.40608,-0.55263,-0.33896,-0.099439,1.005,0.10168
-0.18203,0.31096,-0.14958,-0.059875,0.062665,-0.34115,0.21748
-0.065687,-0.69987,0.075776,0.054101,-0.38589,-0.013743,0.23084
0.10986,1.5939,-0.11282,-0.030965,0.97985,0.071637,-0.28228
0.86673,1.6306,0.23537,0.1524,0.80209,-1.4016,0.73998
0.28916,0.43865,0.19881,0.21457,2.1302,1.0538,2.2031
1.3135,-0.39612,-0.31519,2.3832,-0.41594,-0.95568,1.3645
-0.33973,-0.98152,1.8127,1.3021,-2.0636,-0.38304,-1.473
0.020591,-0.37649,2.0153,-0.51568,-0.023461,-0.14158,1.0586
0.023871,-0.1763,0.72719,-1.1727,-0.34814,0.21557,-0.18127
0.0061463,0.27417,0.48256,-1.329,-0.0195,2.017,-0.42633
-0.055885,-0.0049391,-2.3982,-0.58664,-0.078782,0.26829,0.54608
-0.13232,0.55981,-0.91375,-0.2653,-0.048638,-0.11823,0.23829
-0.030009,-0.35719,-0.44416,0.057586,-0.052292,0.060854,-0.24918
-0.38724,1.7681,-0.96485,-0.081848,-0.076663,-0.24947,-0.19967
-0.36948,1.3346,-0.13585,0.28821,0.017016,-0.97069,-1.3264
-0.32853,-2.0478,-0.099273,0.61439,0.20794,-2.7257,-2.5329
-0.054251,-0.57077,0.69535,0.045995,0.098128,-0.72092,0.37691
3.0217,2.1817,-0.13072,-0.68447,3.1776,2.353,1.9801
1.0083,-0.98161,-0.081868,4.1062,-0.12508,-2.3648,-0.50678
