"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
-0.83637,-0.030721,0.91367,2.2306,-2.2523,-0.98857,-1.9152
-0.21445,-0.18182,0.73003,0.77767,0.044617,-0.85825,0.27896
-0.15156,-0.20407,-0.78705,1.8405,-0.4878,-0.80134,-0.49004
-0.070533,-0.087555,-0.82175,0.43158,-0.062201,-0.42388,0.19521
-0.11479,-0.34184,0.82885,-0.94594,-0.13022,-0.77299,-0.052151
0.057268,0.034344,1.3636,0.084816,0.10007,-0.33086,0.010615
-0.011904,0.30794,0.85075,0.22337,0.21365,-0.45861,-0.20877
-0.10582,-0.13898,-0.81853,1.0164,-0.46392,-0.30337,-0.14395
0.0013649,-0.43022,0.6464,-0.98923,-0.029768,-0.26913,0.030612
-0.0047927,-0.068457,0.48211,-0.25458,-0.14089,-0.26469,-0.076028
-0.019463,0.0017144,-0.56138,1.2987,0.10798,-0.10109,0.12976
3.0464,3.0924,-1.0043,-0.77499,2.0054,1.9637,1.5733
0.71596,1.339,-0.4798,1.1529,-0.41143,0.56746,-0.62242
-2.8506,-1.3064,0.67448,1.9818,-2.0767,-1.1563,-1.9388
-0.72581,-0.87684,0.72276,0.4551,0.28334,-0.92503,-0.29751
-0.18107,-0.71231,0.30744,0.57477,0.02295,-0.93446,-0.072099
-0.0045792,-0.56707,1.452,-0.062603,-0.25718,-0.42849,-0.15058
-0.1024,-0.27732,-0.31651,-1.1186,-0.41884,-0.48072,1.0206
-0.021601,-0.36416,-2.346,-1.3762,-0.35046,-0.043071,0.49776
-0.11601,-0.26459,-0.12075,-1.4014,-0.22615,1.4816,-0.16837
0.028004,-0.12232,-0.58179,-0.68987,0.12508,2.6163,0.99294
-0.23467,-0.28923,-0.19362,-0.38401,-0.31528,2.6505,-0.36404
0.3967,0.14255,0.04541,-0.16776,0.78478,1.0469,1.0086
0.63662,1.0478,0.30566,0.11498,1.2042,-0.22451,0.70283
2.86,2.6178,-0.44804,-1.3771,2.6426,2.0916,1.9864
0.71034,1.718,-0.19854,1.4721,0.13836,0.69433,-1.3193
-2.576,0.4284,-0.08942,2.1837,-2.1998,-1.6777,-2.3954
-0.53019,-1.0305,2.318,2.8842,-0.60336,-1.7049,-0.0086328
-0.64945,-1.7584,-0.74502,-0.2531,-0.16347,-0.94948,-0.40774
0.039747,-0.5822,0.67579,0.062865,-0.19406,-0.60788,0.28382
-0.10406,-0.76863,2.5825,-0.14695,-0.43369,0.01755,-0.26074
-0.038811,-0.39795,-1.73,-1.4242,0.073564,0.25025,0.82601
-0.090316,-0.30074,-0.89975,-0.83751,-0.56737,0.46193,0.8325
0.0039947,-0.19399,-0.25303,-2.1196,0.048285,1.1883,0.75488
-0.24054,-0.55483,-0.40434,-0.53582,-0.41905,2.2382,-0.5738
0.51045,0.38286,-1.215,-1.3364,1.035,1.9422,0.88117
0.50242,0.95886,0.28373,0.94761,1.6692,-0.81865,1.127
2.1273,3.4289,-1.7422,-2.211,2.0981,2.6344,1.602
0.22234,1.1368,-0.42297,1.5893,-0.74555,-0.9261,-1.6433
-1.9032,-0.90147,0.45577,1.4751,-1.6891,-2.5451,-1.7944
0.40132,0.98893,-0.72564,0.78767,0.071177,-1.0027,0.0060774
-0.70008,-0.91103,1.2075,1.5477,-0.56523,-0.62179,-0.40675
-0.59854,-1.4728,0.26767,-0.089429,0.044687,-0.61489,0.050096
