"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
-0.096831,2.0918,0.12996,-2.068,2.3613,0.43564,-0.84073
-0.092373,1.4128,0.24394,0.84067,-0.53878,-1.0661,-1.8495
-0.067499,-0.49069,0.16297,2.2136,-2.6468,-1.762,-0.64402
-0.10167,-0.98411,3.0445,1.742,0.039996,-1.2991,-0.072729
-0.11102,-0.68201,0.39312,0.62947,-0.21615,-0.45467,0.11357
-0.080971,-0.18257,-1.9385,0.62227,0.027329,-0.038244,-0.028823
-0.074396,-0.64733,-0.45074,-0.21244,-0.017374,-0.15041,0.052241
-0.0888,0.05708,-1.7553,-1.625,-0.14065,-0.0077005,0.066786
-0.10205,-0.079859,0.30279,-1.2706,-0.16864,0.57534,0.82713
-0.087731,-0.3729,-0.57749,-1.4083,0.13519,0.59529,0.52963
-0.079441,-0.20064,-0.87602,-1.1344,-0.5193,0.023071,-0.46155
-0.094199,0.04527,0.31048,-0.9927,1.0786,-0.10639,0.25021
-0.09092,0.30672,0.061382,0.56614,0.84403,0.20651,0.0034323
2.2219,-0.097672,0.012194,-0.0075075,2.2565,-0.71688,1.1525
0.84614,-0.091718,0.012194,-0.0075075,-0.42904,0.39164,0.38556
-0.44786,-0.09701,0.012194,-0.0075075,-2.465,1.3725,-0.66965
0.34978,-0.099013,0.012194,-0.0075075,0.056416,0.028334,0.16829
-0.64143,-0.095725,0.012194,-0.0075075,-0.31702,-0.15715,-0.61846
0.89981,-0.10065,0.012194,-0.0075075,-0.028427,0.19757,0.58522
-2.0561,-0.09929,0.012194,-0.0075075,-0.082045,0.86357,0.35266
-1.9325,-0.099321,0.012194,-0.0075075,-0.10878,0.42586,-0.96139
0.060373,-0.099682,0.012194,-0.0075075,-0.08226,-0.31713,-0.36589
-0.14043,-0.10344,0.012194,-0.0075075,-0.027503,-1.0399,-0.027624
-0.27632,-0.095293,0.012194,-0.0075075,-0.31235,-0.91677,-0.2334
0.52869,-0.099573,0.012194,-0.0075075,1.04,0.46022,0.75025
1.1753,-0.1027,0.012194,-0.0075075,0.47973,0.080824,0.60552
5.0907,1.8126,-1.0149,-1.4392,1.2941,0.040573,3.7312
2.2224,0.89061,0.5616,1.116,-0.15027,0.031402,-1.9983
-3.9105,-0.64903,0.90607,0.73965,-1.3258,0.021502,-3.5659
0.49952,-0.08644,1.21,0.9048,-0.044813,0.033674,0.84223
-0.38815,-0.12762,0.89895,1.2138,0.099138,0.036823,-0.91069
-0.13009,0.029029,1.3276,0.42234,-0.11722,0.035699,-0.18543
-1.7257,-0.78854,-1.0787,1.4808,-0.24039,0.066702,-0.26444
-2.0489,-0.55437,-0.94277,-1.4948,-0.0096931,0.017557,0.31746
0.18473,-0.43954,0.28652,-0.50199,-0.84277,-0.013075,0.070053
-0.22157,-0.37341,-0.69598,-0.32373,-0.23169,0.052477,1.1583
-0.19802,-0.35036,-0.53573,-2.212,-0.21489,0.045869,0.18399
0.40101,-0.070367,-1.265,-1.4262,0.84464,0.020259,0.91357
1.2717,0.53266,0.64804,-0.19321,0.75853,0.032546,1.2336
1.4539,1.5401,-0.9606,-0.006307,0.012163,-1.0534,0.011743
0.16852,1.801,0.39111,-0.001121,-0.0036743,-1.9736,-0.17885
-1.4414,-1.0051,-0.18832,-0.010596,-0.21337,-1.0347,-0.53872
0.098311,-0.93452,1.0833,-0.017238,-0.11108,-0.34632,0.079211
0.09901,-0.27882,1.4188,-0.0089373,-0.018924,-0.048649,0.10964
0.29035,-0.28094,-0.83875,-0.0086019,-0.021358,-0.46886,0.33695
-0.83736,-0.13659,1.3412,0.00068863,-0.083894,0.42983,-0.12066
