"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
-0.09714,0.8266,-0.23848,-0.99547,2.3064,2.182,1.2347
-0.051331,1.0211,-0.57934,-0.25412,-0.52701,-1.1716,-2.5905
-0.0031843,-0.97593,-0.42074,0.62609,-2.359,-1.685,-1.1857
-0.10941,0.28847,0.17727,0.34361,-0.11742,0.030428,0.6958
-0.089569,0.20807,-0.13402,1.2446,-0.19192,-0.76104,-0.7202
-0.025275,0.097385,0.78026,-0.057847,0.1018,-0.018741,0.59976
-0.091943,-0.19148,-0.49166,0.82258,0.077375,-0.48748,-0.16931
-0.099887,-1.2295,3.0048,1.3727,0.076975,-0.03346,0.13278
-0.078437,-0.43094,2.1853,0.0060367,-0.25143,-0.19489,0.42047
-0.10241,-0.31228,-1.2401,-0.74581,0.061314,1.2896,0.55565
-0.066247,-0.18512,-0.84455,-1.7206,-0.39642,0.85292,-0.041033
-0.026228,-0.27186,-2.3023,-1.4988,0.4402,0.85051,0.72961
-0.072595,0.22115,-0.15705,-0.96854,0.66118,0.78059,0.97785
2.5505,-0.09971,-0.016356,-0.050528,2.7378,0.58276,0.94627
1.0689,-0.10588,-0.016356,-0.050528,-0.95856,0.81812,1.0543
-0.51783,-0.10435,-0.016356,-0.050528,-2.6503,-0.74256,-0.59015
0.3006,-0.1007,-0.016356,-0.050528,0.10604,2.837,-0.90426
-1.0395,-0.090016,-0.016356,-0.050528,-0.54303,0.85877,-0.08352
-0.11803,-0.099404,-0.016356,-0.050528,0.22752,-2.0025,-0.79796
-1.1657,-0.10974,-0.016356,-0.050528,-0.061272,-0.60175,-0.049203
-1.161,-0.10112,-0.016356,-0.050528,-0.17993,-1.5048,0.15042
-0.19676,-0.094549,-0.016356,-0.050528,-0.097531,-0.82925,-0.43277
-0.0399,-0.10606,-0.016356,-0.050528,0.089812,0.49693,1.3607
-0.19764,-0.10203,-0.016356,-0.050528,-0.34976,-0.0088903,-0.15514
0.34307,-0.097035,-0.016356,-0.050528,0.80517,0.50969,-0.079072
0.95296,-0.10404,-0.016356,-0.050528,0.93823,1.2938,1.1321
5.23,1.4437,-1.2597,-1.605,2.0608,0.02245,2.4266
2.1541,0.82378,0.37536,0.97941,-0.027764,-0.052272,-1.7682
-3.9645,-0.3285,0.47589,1.0823,-2.3931,-0.0011111,-3.3617
0.33291,-0.08965,0.3781,1.3608,0.29946,0.033474,-0.081313
-1.5371,0.59893,1.6899,1.5495,0.17878,-0.014265,-1.0749
-0.25048,-0.21561,-0.041635,0.79859,-0.25167,0.015327,-0.36078
-0.67621,-1.2319,1.3295,1.1022,-0.14884,-0.061421,0.20455
-1.6772,-0.74835,-0.99921,-1.0992,-0.20095,-0.014077,-0.80308
0.041129,-0.49196,-0.94425,-1.1182,-0.06529,0.09741,1.3612
-0.092489,-0.18473,1.1282,-1.1493,-0.13685,0.021996,0.97418
-0.29975,-0.30758,-1.2135,-1.512,-0.61184,-0.030989,0.81602
0.7591,-0.083476,-0.81402,-0.75217,0.65466,-0.0080718,1.4327
1.4907,0.18866,-0.18956,-0.6859,0.69271,0.0057815,0.1683
3.1111,1.2597,-0.065522,-0.044598,-0.041095,3.5548,1.5327
0.25955,0.58624,-0.91793,-0.044056,-0.09396,0.14352,-3.1813
-3.1377,0.84918,0.37076,-0.039543,-0.049414,-1.4758,-2.366
0.17528,0.76637,0.51869,-0.070715,-0.052649,-0.9535,0.29213
-0.23292,-0.51959,0.39842,-0.058725,-0.025438,-1.6508,-0.31733
-0.45804,0.29514,2.0082,-0.039859,-0.020277,-0.1466,0.21537
-0.29506,-0.96561,-0.19232,-0.066771,-0.05729,-0.64777,0.083744
-0.16574,-1.0461,0.7575,-0.054931,-0.025157,-0.41714,0.14124
-0.14655,-0.62438,0.36122,-0.038659,-0.037661,-0.1253,0.2542
-0.0017171,-0.74417,0.34274,-0.04085,-0.097679,0.041147,0.22618
-0.30218,-0.18289,-0.0055114,-0.074488,-0.04898,0.0058025,-0.22118
