"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
-2.2893,0.082985,-0.49871,2.0067,-3.2149,-1.2108,-2.282
-0.77126,0.1072,1.009,0.5899,-0.954,-1.1001,-0.33788
-0.4297,0.39782,1.3106,-0.14799,-0.48476,-0.98942,-0.17852
-0.20199,1.5603,0.10438,0.88506,-0.10083,-0.87871,0.012704
0.13957,0.058767,-1.1018,0.61942,0.19778,-0.60194,0.076446
0.17752,-0.59512,-0.34794,0.50136,0.36841,-0.21445,0.076446
0.025716,-0.64356,-0.19717,0.38329,0.36841,-0.21445,0.044575
-0.088138,-1.1037,-0.34794,-0.20702,0.15512,-0.21445,0.10832
0.13957,-0.37716,0.70748,-0.059444,0.027146,-0.048387,0.20393
0.21547,-0.18341,1.7629,0.17668,0.32576,0.062323,0.076446
-0.012235,-1.3701,-0.95104,-2.9225,1.0083,2.3319,1.7975
1.5817,0.30095,-2.6096,-2.952,1.7335,2.3872,1.0326
0.32932,1.3665,-0.34794,0.70797,-0.91134,-0.38052,-1.8996
-2.1375,-0.42559,0.10438,1.3573,-2.4897,-1.2662,-1.1984
-0.92306,0.13142,1.009,1.2688,-0.65539,-1.2108,-0.082909
-0.088138,0.80953,-0.046392,0.058619,0.069805,-0.82336,0.10832
-0.012235,0.47047,-0.19717,-0.20702,0.027146,-0.43587,0.044575
-0.012235,-0.64356,0.25516,0.44232,-0.10083,-0.1591,0.10832
-0.012235,-1.1764,0.25516,0.17668,0.11246,-0.10374,0.012704
-0.012235,-1.031,0.85825,-0.44315,0.45373,0.0069678,0.26767
-0.012235,-0.66777,0.10438,-0.64976,0.15512,0.11768,0.42703
-0.012235,-0.47403,0.25516,-0.5317,-0.52741,0.3391,0.77761
0.93654,0.17986,-0.80026,-0.82686,0.41107,0.83729,1.7019
0.78474,0.17986,-1.7049,-1.0039,1.0936,1.6123,0.74574
1.0124,1.1244,-0.64949,-0.59073,1.7335,1.0587,-0.59285
0.25342,1.3908,0.25516,0.94409,-0.74071,-0.10374,-1.4215
-1.4923,0.25251,0.40593,1.4459,-2.3191,-0.98942,-1.4534
-1.0369,0.47047,0.5567,0.73748,-0.31412,-1.1001,-0.49723
-0.5056,-0.66777,1.6121,0.14717,-0.015512,-0.43587,-0.051038
-0.050187,-1.1764,0.40593,0.2062,0.069805,-0.43587,0.29954
-0.012235,-0.81308,-0.64949,0.2062,0.11246,-0.1591,0.49077
-0.012235,-0.71621,-0.19717,-0.44315,0.11246,0.11768,0.2358
-0.012235,-0.35294,-0.49871,-0.82686,-0.14349,0.44981,0.55451
-0.012235,-0.3045,-0.95104,-1.2401,-0.52741,0.39445,1.3513
-0.012235,-0.13498,-1.5541,-1.2401,-0.27146,1.0034,-0.33788
0.44318,0.51891,-0.80026,-1.0039,0.92297,1.723,-1.0072
