"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
-0.092163,4.8309,-1.2962,-1.4284,1.6516,0.57505,1.8307
-0.093361,2.0489,0.075457,-0.065806,0.15653,0.80796,-0.76154
-0.098191,-1.6473,0.0065785,2.2159,-2.0436,-0.94784,-2.1183
-0.084744,-0.056434,-0.14815,2.5036,-0.15378,-1.8426,-0.21738
-0.086228,0.34155,2.698,0.94256,0.25854,-0.94623,-0.39678
-0.090619,-1.0431,1.2789,2.3471,-0.5151,-0.61828,-0.11557
-0.092879,-1.0088,-0.46863,-0.80324,-0.1497,-0.45784,-0.14706
-0.092546,-1.0287,0.22914,-0.44456,0.48619,-0.13968,-0.06276
-0.085841,-0.61893,1.3194,-0.46131,-0.24837,-0.48634,0.0611
-0.093042,-0.26981,0.99905,-1.9452,-0.20161,-0.068634,0.57374
-0.097647,-0.4443,-1.4491,-0.53203,-0.86763,0.19149,-0.027039
-0.094174,-0.26003,-2.351,-2.2112,0.98641,0.58205,0.81603
-0.088784,-0.055468,-1.7432,-0.022029,1.1713,1.6586,1.221
3.3223,-0.12327,-0.033788,-0.044293,1.9865,0.047791,2.7937
1.5659,-0.094674,-0.033788,-0.044293,-0.97611,0.52086,1.9942
0.23512,-0.078423,-0.033788,-0.044293,-2.1009,-0.047203,0.32013
0.57243,-0.098481,-0.033788,-0.044293,0.26896,-0.00978,0.34693
-0.80439,-0.089558,-0.033788,-0.044293,-0.28943,-0.17433,-0.96224
0.69031,-0.13067,-0.033788,-0.044293,0.031454,0.36184,0.41511
-3.4917,-0.14711,-0.033788,-0.044293,-0.034477,0.11259,-2.9995
-2.3584,-0.14933,-0.033788,-0.044293,-0.059535,-1.0448,-2.185
0.11812,-0.11213,-0.033788,-0.044293,-0.14712,0.41681,0.7032
-0.28965,-0.060147,-0.033788,-0.044293,0.11444,-0.46091,-1.2146
-0.06537,-0.10622,-0.033788,-0.044293,-0.42174,-0.95572,-0.071432
0.18947,-0.12379,-0.033788,-0.044293,1.0211,-0.57709,0.62846
1.2543,-0.11325,-0.033788,-0.044293,0.83643,-0.19331,0.64831
2.0341,3.118,-0.64948,-1.0586,3.1791,-0.10145,1.411
0.27812,2.5595,-0.28532,1.0204,-0.28618,-0.1203,-1.0538
-1.8714,-0.19725,1.2958,1.7149,-3.2894,-0.11599,-1.5543
