"GI:ZTL","GI_mRNA","GI_prot","LHY_mRNA","LHY_prot","LHY_prot_modif","Light*P","PRR5_mRNA","PRR5_prot","PRR7_mRNA","PRR7_prot","PRR9_mRNA","PRR9_prot","TOC1_mRNA","TOC1_prot","TOC1_prot_mod","Y_mRNA","Y_prot"
0,0,0.23306,0.21939,0.235,0.79857,2.0612,0.9188,1.7367,0.78178,0.42476,1.5983,3.2958,3.4548,1.7754,0.50136,2.4326,2.4848
0,0.011946,0,1.3877,0.88758,0.59893,0.23968,1.1026,1.042,0.50235,1.3494,3.4981,2.5878,3.2709,3.2259,0.63596,1.2344,2.2498
0,0.052543,0.22262,1.5857,1.3507,1.5306,0.047936,1.1026,1.042,1.1687,1.5563,0.98086,3.0324,2.3058,4.5023,0.90517,0.25415,1.5782
0,0.059214,0.3016,1.2491,1.5612,2.1961,0,2.0214,1.9103,1.8995,3.5739,0.17345,2.2177,1.3866,3.8061,1.1744,0.036307,1.1753
0,0.025605,0.07919,0.79365,1.5612,2.795,0,3.4914,2.7786,2.3509,2.4076,0.12595,3.4733,0.83513,3.2259,1.8474,0.036307,0.70516
0,0.050796,0.18274,0.69464,1.3928,2.9947,0,2.5726,3.126,2.5228,4.2457,0.12595,2.1363,0.69725,2.9358,1.7128,0.072614,0.43653
0,0.01884,0.35497,0.49662,0.99284,2.7285,0.095872,2.0214,2.7786,2.6948,2.6322,0.22094,3.13,0.65129,2.6457,1.8474,0.036307,0.26863
0,0.060897,0.40629,0.37781,0.61392,1.9964,1.0546,1.2863,2.605,2.2864,2.5399,0.22094,3.4554,0.55938,1.7754,2.1166,0.072614,0.13432
0,0.017842,0.20763,0.47682,0.50866,1.7302,1.7257,0.73504,1.042,1.7705,1.9573,0.12595,2.629,0.65129,1.3693,1.5782,0.32676,0.26863
0,0.050005,0.38587,0.37781,0.44551,1.2644,2.0373,0.9188,0.86833,1.2762,1.2835,0.17345,1.8012,1.1109,1.3113,0.77056,0.98029,0.67158
0,0.053415,0.18834,0.2788,0.46656,1.1313,2.229,0.18376,0.86833,0.82477,2.3541,0.17345,3.0081,1.2028,1.6594,1.309,0.87137,1.0074
0,0.089856,0.1024,0.2788,0.36131,0.86512,2.277,0.18376,0.34733,0.41638,1.8035,0.12595,3.8813,1.1568,1.6594,1.1744,0.76245,0.67158
0,0.0041111,0.19491,0.43721,0.3192,0.46584,1.8935,0.18376,0.521,0.3089,0.61178,1.7883,0.49151,1.1568,1.4853,1.0398,0.90768,0.67158
0.48644,0.68234,0.20739,0.023628,0.059463,0,2.0373,0,0,0.050969,2.697,1.2183,1.0143,1.5705,2.2396,4.2703,0.65353,0.43653
1.0613,2.4699,0.56776,0.024166,0.015204,0,0.35952,0,0,0.050969,4.4389,3.878,0.96473,1.3866,2.4716,3.328,1.7427,1.1417
1.9015,2.1663,0.44764,0.028301,0.015543,0,0.023968,0,0,0.050969,2.0191,0.69589,0.95585,1.9841,2.2396,3.5972,1.1255,1.4103
2.8302,2.5373,0.20739,0.013872,0.058797,0,0,0,0,0.050969,1.7772,0.36343,2.7802,2.4437,2.7617,2.9242,1.1981,1.4439
3.1839,2.2338,0.68789,0.028068,0.030778,0,0,0,0,0.050969,3.8591,0.12595,3.2314,2.2598,2.5877,2.7896,0.90768,1.3767
3.6262,2.5373,0.32751,0.010399,0.03576,0,0,0,0,0.050969,1.2366,0.078458,3.4542,2.3058,2.0655,1.7128,0.76245,1.4775
3.5377,2.3687,0.56776,0.026426,0.052565,0,0.11984,0,0,0.050969,1.8031,0.12595,1.6537,2.5356,2.2396,1.8474,1.3797,1.4775
1.2824,0.47998,4.2917,0.044106,0.010699,0,0.95872,0,0,0.050969,2.15,0.078458,0.66562,3.0411,2.0655,2.2512,0.98029,1.7125
0.22111,0.075256,4.7722,0.019573,0.020582,0,1.462,0,0,0.050969,2.7955,0.078458,3.3763,2.9492,2.3556,2.5204,0.39938,1.276
0,0.075256,3.4508,0,0.042795,0,1.9654,0,0,0.050969,1.0842,0.078458,2.6719,2.6275,2.9938,3.0588,0.32676,0.90663
0,0.04153,2.6099,0.019324,0.0077205,0,2.1571,0,0,0.050969,1.2066,0.078458,2.7411,1.8462,2.4716,3.0588,0.18154,0.70516
0,0.04153,2.0093,0.029967,0.029519,0,2.3249,0,0,0.050969,2.4903,0.078458,2.3367,1.8003,2.2976,3.1934,0.25415,0.50368
0.17689,0.95216,1.0483,0.01602,0,0,1.9893,0,0,0.050969,1.9922,1.7883,2.4351,1.9381,2.0655,3.0588,0.98029,0.4701
0.22111,1.1882,0.56776,0.2986,0.25605,0.86512,1.8216,0.18376,1.2157,0.82477,2.123,1.4558,2.665,0.18719,0.032611,0,3.8485,2.3841
1.7689,5.2355,1.6489,1.2887,0.71917,0.79857,0.19174,0,0.86833,0.73879,3.7545,2.7382,2.1583,0.092719,0.14815,0.34445,5.3008,5.1376
3.0071,3.7515,1.2885,1.2293,1.1191,1.5971,0.023968,0.55128,0.86833,1.2117,1.6799,1.4083,2.0113,0.12326,0.068113,0.15859,1.9969,4.4996
3.5819,2.5373,1.2885,1.1303,1.2665,1.6637,0,1.1026,0.69466,1.3836,1.9798,1.1233,0.70359,0,0.12005,0.48052,1.5975,3.3915
3.6704,2.942,0.68789,1.0907,1.1823,1.9964,0,1.8376,1.3893,1.8995,2.8807,1.0759,1.1454,0.031434,0.10467,0.31426,1.4523,2.8206
3.8915,2.571,0.44764,1.1699,1.4981,1.8633,0,2.3889,1.3893,2.0929,2.3843,1.3608,2.729,0.063864,0,0.3202,0.98029,2.6863
3.0955,2.3012,0.56776,1.0115,1.477,2.2626,0.071904,2.7564,1.9103,2.5228,2.6499,1.0284,2.0857,0.10654,0.1373,0.18624,0.87137,2.3505
1.3709,0.44625,3.8112,0.67484,1.1191,2.1295,0.98269,1.6538,2.4313,2.5658,1.8013,1.1708,4.1365,0.11641,0.077998,0.11864,0.76245,1.6118
