"GI_mRNA","LHY_mRNA","PRR5_NI_mRNA","PRR7_mRNA","PRR9_mRNA","TOC1_mRNA","Y_mRNA"
0.021471,3.316,-0.0048829,0.25387,4.202,0.97331,1.8429
0.017013,1.5869,0.16968,-0.047264,-0.1044,0.43057,-0.60275
0.0013584,0.01495,0.51881,-0.047264,-2.7959,-0.4137,-1.6603
-0.025743,0.046388,0.34425,0.15349,-0.6427,-0.71522,-0.23921
-0.013962,-0.20512,-0.70314,0.68883,0.25447,-0.65492,-0.27225
-0.072641,-0.39375,1.2171,1.1573,-0.032624,-0.474,-0.27225
-0.051253,-0.99108,2.439,0.52154,0.21858,-0.17248,-0.17311
0.006356,-1.4627,-0.0048829,-0.48223,0.36213,-0.051871,-0.0078579
0.020355,-0.99108,-1.4014,-0.44877,-0.42738,0.0084342,0.32264
0.0046007,-0.42519,-1.0523,-0.28148,-0.39149,0.49087,1.3802
-0.10053,-0.23656,0.69338,-1.3187,-0.31972,1.4558,2.2395
-0.0078054,0.48653,-0.87771,-1.854,1.2593,2.8428,0.68618
0.53004,-0.13182,-3.3216,-2.3559,0.82865,0.67179,-1.3298
2.3009,-0.70717,-1.576,-1.486,0.9722,0.24965,-0.47055
1.0959,-0.0041356,-0.0048829,-0.013805,-0.46326,1.7573,-0.7019
-0.59612,-0.010184,-0.0048829,-0.013805,-2.6165,-0.23279,-1.1315
0.5919,-0.035703,-0.0048829,-0.013805,-0.67858,-1.0167,-0.27225
0.6279,-0.054204,-0.0048829,-0.013805,-0.1044,-0.77553,-0.23921
-0.48812,-0.0016833,-0.0048829,-0.013805,0.039149,-0.59461,0.22349
-2.0361,0.011278,-0.0048829,-0.013805,0.0032624,0.068739,0.25654
-1.7121,-0.044151,-0.0048829,-0.013805,-0.1044,-0.051871,0.45484
-0.41612,-0.018786,-0.0048829,-0.013805,-0.068511,-0.59461,0.025192
-0.092111,-0.029783,-0.0048829,-0.013805,-0.032624,0.37026,-0.3714
-0.02011,-0.053985,-0.0048829,-0.013805,-0.032624,0.43057,-0.27225
0.5199,0.016337,-0.0048829,-0.013805,1.3311,-0.4137,0.025192
1.5639,0.68619,1.3916,1.7595,0.9722,-2.4685,2.9336
4.552,2.5512,0.34425,1.358,1.367,-2.2438,2.4709
1.2759,2.2471,-0.70314,0.086572,-0.068511,-0.097322,-1.9247
-3.2242,0.2979,1.0425,1.5588,-2.1858,-0.040186,-2.4866
-1.2801,-0.36231,1.3916,2.2949,-0.39149,0.025559,-0.80105
-0.95613,-0.39375,-0.17945,1.5922,-0.14028,0.04263,-0.33835
-0.38012,-0.29944,-0.35401,0.32078,-0.032624,0.086394,-0.33835
-0.77612,-1.3055,0.16968,-0.013805,0.36213,-0.096085,-0.23921
-1.2081,-1.7456,0.86794,-1.2518,0.039149,-0.053467,-0.10701
-0.23611,-0.89677,-0.0048829,-1.8206,-0.6427,0.10267,0.55398
-0.092111,-0.48807,-1.2268,-1.6198,-0.17617,0.043259,1.7438
-0.02011,-0.268,-0.52858,-1.6867,-0.17617,-0.0021307,1.7768
1.2759,0.2979,-1.0523,-0.98411,0.57745,-0.11373,2.1734
1.0959,0.73804,2.439,-1.0704,-0.11892,0.72797,0.091291
2.4639,2.3414,0.51881,-0.7488,-1.1483,1.2582,-1.2307
0.5559,1.6498,-2.6234,-0.0079392,-0.047575,0.67179,-1.429
-2.8642,-0.5195,0.34425,0.023653,-0.024074,-0.17248,-2.6518
-1.3881,-0.1108,0.69338,-0.032784,-0.084034,-0.71522,-1.0985
-0.59612,-0.047927,1.0425,-0.028561,-0.17325,-0.53431,-0.17311
-0.056111,-0.29944,1.3916,-0.023428,0.02161,-0.4137,0.15739
-0.30812,-0.77101,0.51881,0.029482,0.048419,-0.17248,0.091291
-0.30812,-1.2426,0.86794,-0.023176,-0.0075567,-0.11218,0.28959
-0.092111,-1.1168,-0.70314,-0.072751,-0.004007,0.12904,0.75228
-0.02011,-0.61382,-1.9251,0.0099922,-0.14296,0.43057,0.38874
-0.02011,-0.23656,-0.52858,0.028453,-0.090062,1.0939,1.5785
0.91591,0.32933,-1.2268,-0.02563,-0.012331,3.0237,1.215
0.5559,0.80091,-0.35401,2.0437,1.2706,-0.4137,-0.47055
-0.88413,-0.17368,0.34425,1.7656,0.20254,-2.0419,-1.2307
-0.59612,-0.36231,-0.52858,-0.98411,-1.181,1.6367,-1.4951
-0.092111,0.89523,-0.52858,-0.91719,-0.24794,1.3351,-0.6358
-0.02011,1.6498,-0.52858,-0.1811,-0.14028,-0.65492,-0.5697
-0.02011,1.1467,0.34425,0.48808,0.075036,-1.258,-0.14006
-0.02011,-0.5195,0.16968,0.65537,0.11092,-1.1374,0.15739
-0.02011,-0.89677,0.16968,0.82267,0.039149,-1.0167,-0.0078579
-0.02011,-0.016489,0.51881,0.82267,0.21858,-0.59461,-0.0078579
-0.02011,-0.079366,-0.0048829,0.25387,0.25447,-0.23279,0.25654
-0.02011,-0.5195,0.69338,0.25387,0.0032624,0.24965,0.75228
-0.02011,-0.92821,-0.17945,-0.1811,-0.31972,0.24965,0.52094
-0.02011,-0.83389,-0.52858,-0.91719,-0.24794,0.37026,0.32264
0.84391,-0.016489,0.16968,-1.0176,0.75688,1.6367,0.85143
2.6799,1.9956,-0.35401,-0.85028,2.2641,2.9031,-0.27225
0.19589,2.5615,-0.0048829,0.35424,-0.1044,0.0084342,-1.7264
-2.2882,0.80091,0.34425,1.1907,-1.8628,-2.7656,-1.0324
-0.77612,-0.80245,1.0425,1.5588,-0.78624,-1.6198,-0.10701
0.087892,-1.2112,0.86794,1.2242,-0.6427,-0.65492,0.058241
0.15989,-0.39375,1.3916,0.28732,0.0032624,-0.4137,0.19044
-0.48812,-0.45663,-0.0048829,0.42116,0.14681,-0.11218,0.19044
-0.52412,-0.83389,-1.0523,0.22041,-0.032624,0.068739,0.45484
-0.092111,-0.83389,0.86794,-0.31493,0.0032624,0.24965,0.45484
-0.02011,-0.83389,-0.17945,-0.88373,0.36213,0.068739,0.058241
-0.02011,-0.55094,-2.2742,-1.2518,0.11092,0.0084342,0.45484
0.77191,0.10927,-1.7505,-1.0845,0.64922,0.7924,1.248
0.5919,0.32933,0.51881,-1.3187,1.1875,2.4206,1.0497
1.0599,2.6872,-0.17945,-0.48223,1.6182,1.8779,-1.0324
-0.02011,2.5929,-0.17945,1.1238,-0.60681,-1.6198,-1.9908
-1.7121,0.23502,1.2171,1.5588,-2.6882,-2.2832,-0.9002
-0.30812,0.39221,0.51881,1.358,-0.71447,-0.95644,-0.23921
-0.02011,-0.70814,1.3916,0.98996,0.29036,-0.3534,0.058241
-0.02011,-1.1483,0.86794,0.58845,0.11092,-0.11218,0.12434
0.4479,-0.55094,-0.0048829,0.12003,0.11092,-0.11218,0.025192
0.15989,-0.42519,-1.2268,-0.11418,0.11092,0.0084342,-0.040908
0.051891,-0.047927,-0.52858,-0.14764,0.25447,0.0084342,0.22349
0.5919,0.39221,1.0425,-0.080722,-0.21206,-0.051871,0.091291
0.051891,0.2979,-0.0048829,0.35424,-0.57092,-0.051871,-0.20616
0.051891,-0.29944,0.86794,0.82267,0.039149,0.0084342,-0.073957
0.23189,-2.0914,-1.4014,-2.8578,0.61334,2.3,1.9751
1.6719,0.077827,-2.2742,-3.2928,2.3718,2.8428,2.2065
-0.092111,2.1842,-0.70314,1.1573,0.0032624,0.0084342,-1.8256
-2.7922,-0.70814,0.51881,1.4584,-2.76,-1.1977,-2.2883
-0.95613,-1.274,1.0425,0.75575,-1.0733,-1.1977,-0.23921
-0.12811,-0.1108,0.34425,0.15349,-0.17617,-0.77553,0.15739
-0.056111,-0.20512,1.2171,-0.34839,0.11092,0.12904,0.32264
-0.02011,-0.20512,0.34425,0.019654,0.075036,-0.11218,-0.040908
-0.02011,-0.1108,-0.35401,-0.14764,-0.17617,-0.474,-0.33835
-0.02011,0.17214,-0.70314,-0.31493,0.039149,-0.051871,0.025192
-0.02011,0.83235,-0.87771,-0.28148,0.11092,-0.23279,0.81838
0.015891,0.20358,-0.0048829,0.019654,-0.1044,-0.23279,-0.040908
0.5919,-0.17368,0.16968,0.12003,1.7976,0.0084342,-0.14006
0.5919,-1.274,0.34425,-1.4191,0.82865,1.3954,1.5124
1.8879,1.2725,-0.52858,-1.5864,0.9722,1.3954,1.1819
0.5199,2.4043,0.34425,0.32078,-0.032624,-0.23279,-1.3298
-1.8921,-0.70814,1.7408,2.1945,-2.5806,-0.77553,-1.8917
-1.1361,-1.1168,0.69338,1.5922,-0.92979,-1.0167,-0.33835
-0.66812,-0.73957,-0.17945,0.555,-0.39149,-0.59461,-0.073957
-0.092111,-0.42519,-0.0048829,0.52154,0.14681,0.0084342,0.25654
-0.02011,-0.64526,-0.87771,-0.68298,0.039149,0.0084342,0.68618
-0.02011,-0.58238,-0.70314,-1.2183,0.0032624,0.18935,0.85143
-0.02011,-0.5195,-0.35401,-1.4525,-0.17617,1.2748,0.85143
-0.02011,-0.42519,-1.4014,-1.5864,-0.39149,1.8176,-0.768
-0.02011,0.48653,-1.0523,-1.1849,0.039149,0.8527,-1.2968
0.2679,2.4043,-0.52858,-0.34839,1.0081,-0.77553,-0.10701
0.6279,-0.64526,1.5662,0.52154,0.86454,-0.59461,0.85143
1.5279,-0.016489,0.34425,0.42116,2.3718,1.1542,0.55398
0.051891,2.3728,-1.4014,0.78921,-0.1044,-0.474,-1.0324
-1.6761,-0.20512,1.3916,1.4918,-3.2983,-1.861,-0.80105
-0.48812,-0.23656,0.69338,1.4584,-0.85802,-1.1374,-0.14006
-0.12811,-0.48807,-1.0523,0.9565,0.039149,-0.71522,-0.040908
-0.23611,-1.1797,0.69338,0.3877,0.21858,-0.29309,0.15739
-0.092111,-1.2426,1.0425,0.086572,0.0032624,-0.11218,0.28959
-0.056111,-0.92821,0.34425,-0.11418,-0.068511,0.12904,0.48789
-0.02011,-0.48807,-0.70314,-0.24802,0.075036,0.43057,0.19044
-0.02011,-0.268,-0.70314,-1.4191,-0.14028,0.61148,0.32264
-0.02011,-0.39375,-0.0048829,-1.6198,-0.39149,0.7924,0.58703
