"GI:ZTL","GI_mRNA","GI_prot","LHY_mRNA","LHY_prot","LHY_prot_modif","Light*P","PRR5_mRNA","PRR5_prot","PRR7_mRNA","PRR7_prot","PRR9_mRNA","PRR9_prot","TOC1_mRNA","TOC1_prot","TOC1_prot_mod","Y_mRNA","Y_prot"
0,0.015462,0.10162,0.41945,0.4707,0.97031,2.0827,1.436,1.7703,1.246,3.8905,1.3208,2.191,0.51835,4.5434,2.5909,1.4666,0.68745
0,0.018085,0.15374,2.6663,1.4294,0.71156,0.45484,0.71798,3.6856,0.86434,3.4585,4.8161,1.9574,0.70969,2.404,1.4187,1.4666,1.1457
0,0.051612,0,2.4865,1.7581,1.0997,0.071817,0.53849,3.0315,1.4156,3.8095,3.0212,3.2989,0.68418,2.747,3.4559,0.54474,1.1021
0,0.016938,0.21683,2.187,2.3333,1.7466,0,1.6155,2.6207,1.9033,4.3579,1.1318,1.4889,0.45457,2.7842,2.0601,0.29332,0.9166
0,0.033094,0.07388,2.1271,2.525,2.0053,0,2.3334,3.9127,2.073,3.5825,0.80119,3.7118,0.26323,4.2322,3.2715,0.27935,0.58924
0,0.050001,0.14445,2.5465,2.525,2.5875,0,1.795,1.2303,2.391,2.3048,1.1791,3.9448,0.17394,3.4678,2.3104,0.20951,0.41465
0,0.037538,0.15389,2.4266,2.7168,3.105,0.071817,2.3334,2.2127,2.6667,4.3031,1.2735,2.2998,0.12292,2.4017,3.1315,0.18158,0.38192
0,0.053869,0.038131,1.4979,2.4703,2.5875,1.0294,2.5129,2.3649,2.8787,2.3271,1.4625,2.6783,0.097406,3.5026,2.3794,0.041903,0.25097
0,0.016365,0.097843,0.89878,1.6211,2.9756,1.7475,2.3334,1.8717,3.1332,3.953,1.2735,1.0972,0.059138,2.3379,3.4193,0.12571,0.12003
0,0.044729,0.03724,0.50933,0.82679,2.7169,2.0109,3.0514,2.2722,2.7091,4.3935,0.84842,1.9998,0.11016,4.5488,1.9774,0.36316,0.28371
0,0,0.16244,0.32958,0.4707,2.1347,2.2503,3.5899,5.0873,2.0518,3.2568,0.37608,3.7887,0.17394,0.70977,4.8498,0.72632,0.38192
0,0.037336,0.12632,0.23971,0.30635,1.0997,2.2981,1.436,3.3492,1.4793,4.1529,0.18714,2.3762,0.36528,3.1961,3.7872,1.3409,0.69836
0,0.035508,0.18492,0.56924,0.38853,0.58219,2.0827,0.53849,3.0485,1.0552,5.3517,1.6514,1.937,0.96481,3.8411,3.2995,1.5504,0.92751
0.60555,0.74617,1.4126,0.010653,0.03894,0,2.0109,0,2.4444,0.016185,3.1812,1.6514,1.9518,3.044,2.7646,3.0516,1.9275,1.9423
1.9818,4.301,1.3093,0.053289,0.077496,0,0.35908,0,3.7117,0.016185,2.6736,3.4463,1.1932,3.1078,3.9422,1.6916,3.9528,2.8371
2.9452,4.522,2.3416,0.020269,0.0012886,0,0.11969,0,0.57737,0.016185,4.0829,1.2735,3.6831,3.044,3.0146,2.32,4.6233,4.0265
3.881,4.3746,2.7545,0.082468,0.064301,0,0,0,1.7194,0.016185,0,0.47055,0.32286,2.8654,2.7517,1.4992,4.5115,4.463
4.5141,4.6693,2.5996,0.052322,0.029921,0,0,0,2.952,0.016185,3.2636,0.13991,1.4458,3.0568,2.6564,0.75935,4.8607,4.7685
4.6517,4.393,3.1674,0.071693,0.0068134,0,0,0,3.2067,0.016185,3.1365,0.092673,1.1566,3.0695,4.0515,2.151,4.9026,5.1504
4.8995,3.6563,3.1158,0.024707,0,0,0.023939,0,1.7951,0.016185,4.0971,0.092673,1.4403,3.2098,3.2154,2.4438,4.5115,5.2268
2.4497,0.76458,6.3157,0.015722,0.049114,0,0.88574,0,2.9973,0.016185,4.0151,0.13991,1.493,3.2609,2.5464,3.0636,2.165,4.1247
0.57803,0.10151,6.2124,0.037806,0.11282,0,1.6039,0,2.9224,0.016185,4.7377,0.092673,3.4803,3.1078,2.9113,2.4653,1.746,3.4154
0.1101,0.046259,4.8705,0.016997,0.052789,0,1.8433,0,2.8168,0.016185,3.1983,0.092673,2.3585,3.1971,4.8785,0.88009,1.8158,2.6079
0.027525,0.02784,3.0641,0.0086433,0.021151,0,2.0348,0,3.6927,0.016185,3.774,0.092673,4.6304,3.0313,4.2228,3.1478,1.8717,2.2697
0.027525,0.02784,1.9287,0.069733,0.089802,0,2.2503,0,2.4296,0.016185,3.3282,0.092673,1.5739,2.8144,2.4481,1.8396,1.746,2.0842
0.52298,0.50672,0.84484,0,0.013171,0,1.963,0,3.1486,0.016185,5.353,1.8876,2.0049,3.1333,2.5409,1.3622,2.1231,1.986
0.082575,0.56198,0.32873,0.71903,0.55287,1.0997,2.0109,1.436,1.8672,0.80073,4.3621,1.6986,3.1633,0.037759,2.0617,3.8534,1.1872,0.79657
1.0184,2.4591,0.2255,2.8161,1.3472,1.0997,0.40696,1.2565,1.8257,0.71592,5.0165,3.6825,3.4909,0.026862,2.7085,2.88,1.3968,1.3094
1.624,1.8144,0.27711,2.3068,1.8129,1.1644,0.047878,0.53849,2.3092,1.1612,2.1643,1.7459,1.6375,0.021532,2.466,3.543,0.67045,1.1239
1.7341,1.2066,0.32873,2.3667,2.0594,1.6172,0,0.53849,2.1465,1.6701,1.7306,1.1318,1.5918,0.02299,4.014,2.6583,0.44696,0.8293
1.624,0.76458,0.17389,2.2469,1.8403,1.9406,0,1.077,3.406,2.0094,4.0706,1.0846,2.4172,0.042498,2.4175,2.4304,0.26539,0.55651
1.4864,1.004,0.17389,2.0671,2.4155,2.6522,0,2.3334,2.0867,2.3486,3.8392,0.84842,1.4967,0.014254,3.9592,1.9991,0.27935,0.371
1.3763,1.004,0.32873,1.7376,2.2237,2.5875,0.095756,2.8719,4.4724,2.4546,2.7782,0.89566,2.4732,0.013429,2.0964,3.2521,0.29332,0.31645
0.79823,0.17519,1.2061,1.1984,1.5937,2.7816,1.2688,3.2309,2.6553,2.2214,4.289,1.1791,1.3597,0,1.9884,2.867,0.097773,0.19641
0.16515,0.02784,1.3093,0.86882,0.90896,3.2991,1.6997,2.6924,2.8355,2.2002,3.5865,0.56502,1.8806,0.034808,1.0617,1.5092,0.29332,0.15277
0.027525,0.02784,1.1545,0.56924,0.85418,2.5228,2.0827,3.4104,0.75106,1.9245,4.0861,0.56502,0.69257,0.027697,3.1815,3.0965,0.50283,0.26189
0,0.02784,0.99968,0.35954,0.66244,1.7466,2.2981,1.9745,1.898,1.6913,3.3118,0.51778,0.19031,0.026762,3.1472,3.49,0.58664,0.31645
0,0.02784,0.74162,0.26966,0.44331,1.2938,2.37,1.2565,0.25203,1.2036,2.8941,0.37608,2.2505,0.007932,4.296,2.5559,0.81012,0.46921
0.19268,0.5804,0.27711,0.68907,0.4707,1.035,2.0348,1.2565,2.3541,0.77953,4.6196,2.2182,1.78,0.016074,4.9674,2.6789,1.2292,0.66563
0.1101,0.50672,0.17389,0.50933,0.41592,0.97031,1.963,0.71798,3.6165,0.025341,3.3407,0.11603,3.4153,0.020871,3.3107,2.6926,1.6482,0.78566
1.2662,2.5144,0.53517,2.2469,1.4294,0.90563,0.31121,0.35899,3.3517,0,4.7033,0.020516,1.8137,0.020871,1.6682,2.8348,1.6482,1.2112
2.2846,1.8329,0.38034,2.6363,1.9498,1.6819,0.023939,0.53849,2.0056,0.00034745,1.8671,0.084605,1.0076,0.020871,2.1098,1.3897,0.64251,1.233
2.0919,0.89351,0.12228,1.9173,2.662,1.9406,0,0.89748,3.3209,0.046822,3.9576,0,0,0.020871,2.4672,3.5455,0.34919,0.86204
1.7891,0.8751,0.17389,1.9773,2.2785,2.6522,0,1.436,2.1825,0.037612,4.2164,0.12725,0.8968,0.020871,2.7029,1.744,0.20951,0.51286
1.9268,0.85668,0.17389,2.2169,2.4977,2.3288,0,1.9745,2.7838,0.041878,1.7004,0.053649,1.3901,0.020871,4.4567,2.7988,0.15364,0.36009
1.4864,0.80142,0.32873,2.1271,2.2785,2.7169,0.047878,2.8719,2.2691,0.0023606,4.4921,0.087932,2.6525,0.020871,3.1685,2.8246,0.083806,0.21824
