"GI:ZTL","GI_mRNA","GI_prot","LHY_mRNA","LHY_prot","LHY_prot_modif","Light*P","PRR5_mRNA","PRR5_prot","PRR7_mRNA","PRR7_prot","PRR9_mRNA","PRR9_prot","TOC1_mRNA","TOC1_prot","TOC1_prot_mod","Y_mRNA","Y_prot"
0,0,0.053308,0.62979,0.22072,0.51318,1.9226,0.19666,0.75105,0.46274,1.666,2.0896,1.6772,1.1012,3.2826,2.6496,1.9013,1.0708
0,0.052116,0.065018,1.7818,0.78326,0.43986,0.44367,0,0.56329,0.39416,2.0627,4.402,2.0113,1.6469,2.1845,4.336,2.9654,2.1985
0,0.038776,0.017881,2.8979,1.4708,0.87973,0.098593,0.39331,0.37552,0.59992,3.2319,1.9989,2.6313,1.4602,1.5579,1.5023,1.206,2.1301
0,0.019905,0.068358,2.7179,2.3146,1.3196,0.024648,0.98328,0.93881,1.2172,3.1656,1.8175,3.1441,1.015,2.9317,2.7233,0.48242,1.572
0,0.043648,0.13548,2.2139,2.3146,1.8328,0,2.3599,1.8776,1.5601,2.6901,1.1374,2.5411,0.74217,1.4525,3.9397,0.21283,1.048
0,0.02498,0.016092,1.4938,2.0333,2.6392,0,2.5565,3.192,2.0174,3.0372,1.4548,2.7579,0.56984,1.354,2.0907,0.29796,0.58094
0,0.031806,0.09988,0.8818,1.5646,3.2257,0.073945,2.7532,3.943,2.2917,3.2312,0.95603,2.085,0.39751,2.6276,1.7162,0.42566,0.5126
0,0.031054,0,0.62979,0.84576,2.9324,1.0599,3.1465,4.1308,2.2003,2.5932,0.54795,1.1287,0.44059,1.5456,2.3231,0.4966,0.48982
0,0.028823,0.091421,0.41378,0.65825,2.126,1.7747,3.3432,4.3185,1.423,3.0505,0.45726,2.1129,0.5842,1.1023,2.321,0.86551,0.56955
0,0.023753,0.13721,0.26978,0.47074,1.5395,2.0951,1.9666,3.0042,1.1258,2.381,0.18521,2.1251,0.87143,1.3479,1.26,0.99321,0.71764
0,0.02333,0.072597,0.16177,0.31448,1.173,2.2183,1.5733,1.5021,0.66851,2.2235,0.18521,4.2946,1.4172,1.492,2.224,1.2202,0.91129
0,0.010834,0.014147,0.12577,0.28323,0.58649,2.2923,1.3766,1.1266,0.41702,2.2332,0.094527,3.8592,1.7044,0.78543,1.4967,1.3905,1.1733
0,0.044194,0.14547,0.70179,0.22072,0.36655,1.8733,0.58997,1.1266,0.23412,2.854,1.4094,3.3072,2.1065,1.391,0.97725,1.9155,1.3214
0.57877,0.65503,0.61525,0.058033,0,0,2.1198,0,0,0.028356,1.6504,1.6362,2.1094,3.399,1.3463,0.86115,2.029,2.1073
2.0131,3.6196,0.47817,0.086135,0.037551,0,0.29578,0,0,0.028356,4.5628,3.8126,2.6268,3.1692,1.9403,0.26105,4.7106,2.9845
2.9945,3.5319,0.56955,0.075286,0.031398,0,0.024648,0,0,0.028356,2.6535,0.82,2.6868,3.3128,1.4243,1.5939,4.6539,3.7818
3.4978,4.0231,1.392,0.053829,0.025773,0,0,0,0,0.028356,2.6511,0.18521,3.6467,3.7437,2.1925,0.34715,4.3276,4.4995
3.8501,4.0056,2.9456,0.079066,0.062467,0,0,0,0,0.028356,2.8018,0.094527,2.0043,3.758,1.2575,1.8602,4.4978,4.8526
4.4792,3.9705,2.3059,0.092618,0.028449,0,0,0,0,0.028356,3.0087,0.094527,3.8333,3.9447,2.9306,0.91626,4.81,5.0576
4.756,3.6372,3.0827,0.048697,0.049345,0,0.27113,0,0,0.028356,5.0994,0.18521,2.4319,3.557,2.3594,2.5648,4.5262,5.5588
2.3151,0.74274,6.0984,0.041965,0.084075,0,1.3064,0,0,0.028356,4.1942,0.18521,3.3095,3.399,0.87069,1.449,2.1567,4.4425
0.70459,0.11123,5.6415,0.079387,0.069408,0,1.6761,0,0,0.028356,2.6864,0.094527,4.7326,3.6001,0.21931,2.1753,1.5466,3.087
0.30197,0.041065,4.2707,0.053465,0.017973,0,2.0705,0,0,0.028356,4.4435,0.094527,2.9063,3.3128,0.65692,1.1134,1.5466,2.1985
0.075491,0.023523,3.3112,0.12104,0.10259,0,2.2183,0,0,0.028356,2.4008,0.094527,3.2984,3.3128,1.2067,3.8933,1.6601,2.1073
0.050328,0.023523,2.1231,0.00711,0.06359,0,2.3169,0,0,0.028356,1.6484,0.094527,2.0163,3.4708,2.0948,2.1954,1.4047,2.0618
0.78008,0.69012,0.43247,0,0.040453,0,2.0458,0,0,0.028356,2.2914,1.2734,3.0093,3.2841,2.4745,1.8219,2.0999,1.9137
0.22647,0.70766,0.20401,0.52179,0.31448,0.58649,2.169,0,0.18776,0.46274,2.3172,1.5001,2.7587,0.019424,0.58492,2.1816,1.6459,1.2758
1.1072,2.2864,0.29539,3.1499,1.4395,0.6598,0.39437,0.19666,0.18776,0.43988,3.6906,4.3567,3.3205,0.043359,1.5065,2.4356,1.8729,2.1529
1.686,1.1287,0.15831,2.8979,2.6896,1.4662,0.073945,0.58997,0.18776,1.3315,2.2325,1.6362,1.374,0.022757,0,3.2095,0.55336,1.6517
1.7111,0.7252,0.066927,2.5739,3.3772,1.9794,0,0.78663,0.56329,1.9488,3.2461,1.4548,2.2587,0.021705,2.447,2.4167,0.18445,1.2075
1.7363,0.848,0.15831,2.6819,2.6896,2.7125,0,1.5733,0.37552,2.4746,4.0657,0.82,3.2931,0.028316,2.033,3.3139,0.24121,0.87711
1.535,0.74274,0.11262,2.5379,2.2208,2.8591,0,1.7699,0.93881,2.9319,2.5756,1.0467,2.5107,0.028921,0.84863,1.9943,0.31215,0.43286
1.1827,0.61995,0.15831,1.9978,2.4396,3.299,0.049297,3.1465,2.6287,3.6864,3,1.0467,0.19299,0.02954,1.9155,2.9587,0.14189,0.23921
0.40262,0.12877,1.0722,1.1338,1.5646,2.7858,0.83804,2.9498,2.4409,3.2291,0,0.63863,3.5361,0.062323,4.9328,1.5717,0.11351,0.022782
0.075491,0.023523,1.255,0.70179,1.0333,2.1993,1.7007,1.7699,1.3143,2.4746,2.2748,0.82,1.2928,0.047782,2.3204,2.9852,0.29796,0.13669
0,0.023523,1.0265,0.37778,0.72075,1.173,2.0458,1.7699,1.8776,1.8345,2.9813,0.36658,1.4062,0.057952,2.4891,0.89703,0.6243,0.28478
0,0.023523,0.75233,0.23377,0.59575,0.95304,2.2183,0.58997,0.37552,1.1258,2.887,0.13987,3.217,0,3.6555,1.6391,0.8797,0.44425
0,0.023523,0.52386,0.19777,0.50199,0.6598,2.3169,0.78663,0.93881,0.62278,4.52,0.13987,2.4999,0.034502,2.4772,1.5859,0.82294,0.74042
